omega_rad_s,Surge,Heave,Pitch
0.2,32737.68,65903.4,293266.37554585154
0.27179487179487183,32360.727633054586,65481.82639840699,291681.0114835866
0.3435897435897436,31897.94803883226,64952.60181224531,289681.3046773705
0.41538461538461535,31367.92167772309,64330.092119866815,287315.4539459222
0.48717948717948717,30789.56945775662,63629.99892285229,284636.9391396286
0.558974358974359,30180.810614730206,62868.48709640088,281701.808086743
0.6307692307692307,29557.61564788577,62061.41437462357,278566.180249838
0.7025641025641025,28933.46947517917,61223.712083860315,275284.12824316265
0.7743589743589743,28319.18984904358,60368.93835405322,271906.0284383371
0.846153846153846,27723.01115241636,59509.00141517779,268477.4064837905
0.9179487179487178,27150.838103169393,58654.03368677865,265038.2513196525
0.9897435897435898,26606.586685563467,57812.38785807583,261622.73599866455
1.0615384615384615,26092.55032537412,56990.72304861217,258259.26510014193
1.1333333333333333,25609.75055679287,56194.150684931505,254970.7639107199
1.205128205128205,25158.249251125475,55426.41406045286,251775.12985571587
1.2769230769230768,24737.412561191544,54690.08108108108,248685.7778929873
1.3487179487179486,24346.12530034707,53986.73530598895,245712.22538014967
1.4205128205128204,23982.95942414509,53317.15539012813,242860.67587781392
1.4923076923076921,23646.302659894984,52681.47710570944,240134.57395487768
1.5641025641025639,23334.454050321772,52079.3351993984,237535.1135687537
1.6358974358974356,23045.692937563974,51509.98451415282,235061.69079462785
1.7076923076923076,22778.327190856555,50972.40122318221,232712.29770126793
1.7794871794871794,22530.725577119236,50465.36585991444,230483.85832076042
1.8512820512820511,22301.3382625031,49987.53024164023,228372.51030388798
1.923076923076923,22088.70860408203,49537.47050949553,226373.83735389207
1.9948717948717947,21891.478681151617,49113.728448085014,224483.05820841808
2.0666666666666664,21708.39043178593,48714.843081312414,222695.178054183
2.1384615384615384,21538.283793600935,48339.3743207014,221005.10801411857
2.2102564102564104,21380.09288252965,47985.92020438741,219407.7578922829
2.282051282051282,21232.840962524882,47653.129031311226,217898.10680360568
2.353846153846154,21095.634746022704,47339.7074786999,216471.25572492994
2.4256410256410255,20967.65840529326,47044.42559797222,215122.46542633377
2.4974358974358974,20848.16755641524,46766.11941687146,213847.1827041733
2.5692307692307694,20736.483390780653,46503.69173348078,212641.05735354088
2.641025641025641,20631.987066053734,46256.11156895872,211499.95189309577
2.712820512820513,20534.114423375697,46022.4126477975,210419.94568924644
2.7846153846153845,20442.35106572581,45801.691194386236,209397.3348159627
2.8564102564102565,20356.22781022528,45593.10326993747,208428.6287258696
2.928205128205128,20275.316512174064,45395.86182190379,207510.54459183099
3.0,20199.22624877571,45209.233576642335,206640.0
